score,title,metier,filiere,hopital,location,contrat,teletravail,mots_cles_matches,raison,date_publication,url
85,Biostatisticien,Ingénieur - Etudes- Données en recherche clinique,Recherche et recherche clinique,Hôpital Pitié-Salpêtrière - 75 Paris 13,Paris 13,CDD uniquement,Non-éligible au télétravail,"data, statistique, analyse, BI, Python, R, SQL","Le candidat Naïl Mulatier présente un profil très pertinent pour l'offre de Biostatisticien, avec une formation en management industriel, recherche opérationnelle et analyse de données, ainsi que des expériences professionnelles significatives en analyse de données et en développement de modèles stochastiques. Cependant, le salaire proposé (2985,82 € brut mensuel) est inférieur au minimum requis par le candidat (38k€ par an).",2026-03-19T13:27:59+0000,https://recrutement.aphp.fr/jobs/790086
80,Chef de projet informatique PMSI F/H,Chefferie de Projet - MOA,Informatique & Numérique,Direction des systèmes numériques - 75 Paris 12 - DSN,Paris 12,Titulaire ou CDI,Eligible au télétravail,"PMSI, Python, SQL, Chef de projet, informatique, analyse","Le candidat a des compétences techniques relevantes pour le poste, notamment en Python et SQL, ainsi qu'une expérience en analyse de données et en gestion de projets. Cependant, le salaire offre est en dessous du minimum requis par le candidat.",2026-03-18T11:28:59+0000,https://recrutement.aphp.fr/jobs/789536
80,Chef de projet Echelle Nationale des Coûts F/H,Autres métiers,Autres métiers,Siège de l'AP-HP - 75 Paris 12,Paris 12,Titulaire ou CDI,Eligible au télétravail,"analyse, contrôle de gestion, performance, Python","Le score est élevé car l'offre correspond aux compétences et expériences de Naïl Mulatier, notamment dans le domaine de l'analyse de données et du contrôle de gestion. Cependant, le poste require une expérience en finances dans le secteur hospitalier public, ce qui n'est pas explicitement mentionné dans le profil de Naïl.",2025-04-07T14:37:57+0000,https://recrutement.aphp.fr/jobs/661211
70,Responsable d'application activité F/H,Applications - Développement,Informatique & Numérique,Direction des systèmes numériques - 75 Paris 12 - DSN,Paris 12,Titulaire ou CDI,Eligible au télétravail,"applications, développement, informatique, systèmes numériques, SQL","Le profil de Naïl Mulatier correspond partiellement à l'offre de Responsable d'application activité F/H, car il a des compétences techniques en Python, R, SQL et Power BI, ainsi qu'une expérience en analyse de données et en gestion de projets. Cependant, l'offre nécessite une expérience minimum de 3 à 5 ans en gestion de projets informatiques, ce que Naïl Mulatier ne semble pas avoir.",2026-03-18T14:39:38+0000,https://recrutement.aphp.fr/jobs/789684
70,Responsable du pilotage du personnel non médical F/H,Finance - Contrôle de gestion,Autres fonctions administratives,Hôpital Bichat - Claude-Bernard - 75 Paris 18,Paris 18,Titulaire ou CDI,Eligible au télétravail,"pilotage, performance, contrôle de gestion, analyses de données, python","Le candidat a une formation et des expériences pertinentes pour le poste de Responsable du pilotage du personnel non médical, notamment en analyse de données et en gestion. Cependant, le poste nécessite des compétences spécifiques en finance et contrôle de gestion qui ne sont pas explicitement mentionnées dans le profil du candidat.",2026-03-17T08:36:03+0000,https://recrutement.aphp.fr/jobs/788888
70,Responsable budgétaire et financier F/H F/H,Finance - Contrôle de gestion,Autres fonctions administratives,Hôpital Saint-Louis - 75 Paris 10,Paris 10,Titulaire ou CDI,Eligible au télétravail,"contrôle de gestion, pilotage, performance, tableaux de bord, Python","Le candidat a une bonne adéquation avec l'offre en raison de sa formation en management industriel et de ses expériences dans l'analyse de données et le contrôle de gestion. Cependant, l'offre nécessite des compétences spécifiques en finance et en gestion budgétaire qui ne sont pas explicitement mentionnées dans le profil du candidat.",2026-03-15T12:28:02+0000,https://recrutement.aphp.fr/jobs/788355
60,Responsable Applicatif Urgences F/H,Applications - Développement,Informatique & Numérique,Direction des systèmes numériques - 75 Paris 12 - DSN,Paris 12,Titulaire ou CDI,Eligible au télétravail,"Python, applications, développement, informatique","Le candidat a un profil technique solide avec des compétences en Python, R et SQL, mais l'offre d'emploi nécessite plus d'expérience dans le domaine des applications et du développement. Le salaire est également inférieur à la demande du candidat.",2026-03-19T17:27:52+0000,https://recrutement.aphp.fr/jobs/790262
60,Responsable d'application activité F/H,Applications - Développement,Informatique & Numérique,Direction des systèmes numériques - 75 Paris 12 - DSN,Paris 12,Titulaire ou CDI,Eligible au télétravail,"Python, SQL, applications, systèmes d'information","Le candidat a une formation et des expériences pertinentes pour le poste, notamment en gestion de données et en développement d'applications. Cependant, le poste nécessite une expérience minimum de 3 à 5 ans en gestion de projets informatiques, ce que le candidat ne semble pas avoir. Le candidat a également une bonne maîtrise des compétences techniques requises, telles que Python et SQL.",2026-03-18T14:39:38+0000,https://recrutement.aphp.fr/jobs/789684
60,Chef de projet déploiement plan patient F/H,Autres métiers,Autres métiers,Hôpital Robert-Debré - 75 Paris 19,Paris 19,Titulaire ou CDD,Eligible au télétravail,"optimisation, flux, parcours patient, amélioration continue","Le candidat a une expérience dans l'optimisation et l'analyse de données, mais l'offre d'emploi nécessite plus de compétences en gestion de projet et en déploiement de plans opérationnels. Le score est moyen en raison de l'adéquation partielle du profil du candidat avec les exigences de l'offre.",2026-02-06T09:29:52+0000,https://recrutement.aphp.fr/jobs/776400
60,Technicien en recherche Clinique F/H,ARC- TECH Attaché/technicien en recherche Clinique,Recherche et recherche clinique,Hôpital Necker – Enfants malades - 75 Paris 15,Paris 15,Titulaire ou CDD,Non-éligible au télétravail,"recherche, données, santé","Le candidat a des compétences en analyse de données et en gestion de projets, ce qui pourrait être utile pour le poste de Technicien en recherche Clinique. Cependant, le poste nécessite des connaissances spécifiques en recherche clinique et en maladies rares, qui ne sont pas mentionnées dans le profil du candidat.",2026-03-18T09:08:13+0000,https://recrutement.aphp.fr/jobs/789448
